brand_hybrid,Yield,air.sig995_mean,omega.sig995_mean,pres.sfc_mean,rhum.sig995_mean,uwnd.sig995_mean,vwnd.sig995_mean
Power Plus-6P75 AMXT,244.7605,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471
Stone-6378RIB,249.2925,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471
Beck-XL 5939AMXT䋢*,261.9046,292.430981,-0.0165304,99476.875,79.2377717,0.59416041,1.25176925
Beck-XL 6365AMX䋢*,264.9174,292.430981,-0.0165304,99476.875,79.2377717,0.59416041,1.25176925
Burrus-6T54 3000GT,256.9834,292.430981,-0.0165304,99476.875,79.2377717,0.59416041,1.25176925
Power Plus-5C17 AMXT,265.5469,292.430981,-0.0165304,99476.875,79.2377717,0.59416041,1.25176925
Power Plus-6P75 AMXT,276.232,292.430981,-0.0165304,99476.875,79.2377717,0.59416041,1.25176925
Stone-6378RIB,251.9553,292.430981,-0.0165304,99476.875,79.2377717,0.59416041,1.25176925
Beck-XL 5939AMXT䋢*,263.6884,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471
Beck-XL 6365AMX䋢*,280.0428,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471
Burrus-6T54 3000GT,270.1537,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471
Power Plus-5C17 AMXT,277.0883,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471
Power Plus-6P75 AMXT,277.7846,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471
Stone-6378RIB,268.3038,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471
Beck-XL 5939AMXT䋢*,248.1029,292.430981,-0.0165304,99476.875,79.2377717,0.59416041,1.25176925
Beck-XL 6365AMX䋢*,275.0958,292.430981,-0.0165304,99476.875,79.2377717,0.59416041,1.25176925
Burrus-6T54 3000GT,255.7221,292.430981,-0.0165304,99476.875,79.2377717,0.59416041,1.25176925
Power Plus-5C17 AMXT,268.1578,292.430981,-0.0165304,99476.875,79.2377717,0.59416041,1.25176925
Power Plus-6P75 AMXT,239.9025,292.430981,-0.0165304,99476.875,79.2377717,0.59416041,1.25176925
Stone-6378RIB,234.0925,292.430981,-0.0165304,99476.875,79.2377717,0.59416041,1.25176925
DEKALB-DKC53-78 SSRIB,155.009893,293.799731,-0.0001446,95903.4375,66.2907609,-0.92228,1.56141588
MAT CHECK-LATE,126.740005,293.799731,-0.0001446,95903.4375,66.2907609,-0.92228,1.56141588
DEKALB-DKC53-78 SSRIB,121.134757,296.207476,-0.0108293,96611.0462,61.7404891,-0.7169812,3.05666074
MAT CHECK-LATE,86.7546356,296.207476,-0.0108293,96611.0462,61.7404891,-0.7169812,3.05666074
DEKALB-DKC53-78 SSRIB,181.570527,294.908699,-0.0081853,97645.163,71.1345109,-0.0100514,2.2729647
MAT CHECK-LATE,174.316615,294.908699,-0.0081853,97645.163,71.1345109,-0.0100514,2.2729647
DEKALB-DKC53-78 SSRIB,171.343578,294.908699,-0.0081853,97645.163,71.1345109,-0.0100514,2.2729647
MAT CHECK-LATE,174.239668,294.908699,-0.0081853,97645.163,71.1345109,-0.0100514,2.2729647
DEKALB-DKC53-78 SSRIB,207.036545,294.908699,-0.0081853,97645.163,71.1345109,-0.0100514,2.2729647
MAT CHECK-LATE,266.332701,294.908699,-0.0081853,97645.163,71.1345109,-0.0100514,2.2729647
DEKALB-DKC53-78 SSRIB,174.110886,293.273645,-0.0069529,97607.4185,72.2690217,-0.2240463,1.32187804
MAT CHECK-LATE,201.770261,293.273645,-0.0069529,97607.4185,72.2690217,-0.2240463,1.32187804
DEKALB-DKC53-78 SSRIB,185.1524,293.273645,-0.0069529,97607.4185,72.2690217,-0.2240463,1.32187804
MAT CHECK-LATE,250.636925,293.273645,-0.0069529,97607.4185,72.2690217,-0.2240463,1.32187804
DEKALB-DKC53-78 SSRIB,183.893253,293.273645,-0.0069529,97607.4185,72.2690217,-0.2240463,1.32187804
MAT CHECK-LATE,208.388235,293.273645,-0.0069529,97607.4185,72.2690217,-0.2240463,1.32187804
DEKALB-DKC53-78 SSRIB,157.411102,293.799731,-0.0001446,95903.4375,66.2907609,-0.92228,1.56141588
MAT CHECK-LATE,167.935675,293.799731,-0.0001446,95903.4375,66.2907609,-0.92228,1.56141588
DEKALB-DKC53-78 SSRIB,142.873282,293.799731,-0.0001446,95903.4375,66.2907609,-0.92228,1.56141588
MAT CHECK-LATE,151.533731,293.799731,-0.0001446,95903.4375,66.2907609,-0.92228,1.56141588
DEKALB-DKC53-78 SSRIB,170.675262,293.799731,-0.0001446,95903.4375,66.2907609,-0.92228,1.56141588
MAT CHECK-LATE,213.914126,293.799731,-0.0001446,95903.4375,66.2907609,-0.92228,1.56141588
DEKALB-DKC53-78 SSRIB,228.65199,293.273645,-0.0069529,97607.4185,72.2690217,-0.2240463,1.32187804
MAT CHECK-LATE,279.985129,293.273645,-0.0069529,97607.4185,72.2690217,-0.2240463,1.32187804
DEKALB-DKC53-78 SSRIB,174.388781,294.908699,-0.0081853,97645.163,71.1345109,-0.0100514,2.2729647
MAT CHECK-LATE,185.979958,294.908699,-0.0081853,97645.163,71.1345109,-0.0100514,2.2729647
DEKALB-DKC53-78 SSRIB,207.252855,296.207476,-0.0108293,96611.0462,61.7404891,-0.7169812,3.05666074
MAT CHECK-LATE,195.395214,296.207476,-0.0108293,96611.0462,61.7404891,-0.7169812,3.05666074
DEKALB-DKC53-78 SSRIB,150.045237,296.207476,-0.0108293,96611.0462,61.7404891,-0.7169812,3.05666074
MAT CHECK-LATE,136.308188,296.207476,-0.0108293,96611.0462,61.7404891,-0.7169812,3.05666074
DEKALB-DKC53-78 SSRIB,171.140078,296.838047,-0.0206215,93971.1005,55.3288044,-0.8376328,2.61291061
MAT CHECK-LATE,236.184585,296.838047,-0.0206215,93971.1005,55.3288044,-0.8376328,2.61291061
DEKALB-DKC53-78 SSRIB,97.3217933,294.100818,-0.0300155,93499.4837,62.5570652,-1.4790732,0.86929628
MAT CHECK-LATE,79.172724,294.100818,-0.0300155,93499.4837,62.5570652,-1.4790732,0.86929628
DEKALB-DKC53-78 SSRIB,180.95,296.838047,-0.0206215,93971.1005,55.3288044,-0.8376328,2.61291061
MAT CHECK-LATE,233.0957,296.838047,-0.0206215,93971.1005,55.3288044,-0.8376328,2.61291061
DEKALB-DKC53-78 SSRIB,202.323195,293.792531,-0.0162913,86455.856,53.6372283,-0.1442907,1.38791047
MAT CHECK-LATE,247.050881,293.792531,-0.0162913,86455.856,53.6372283,-0.1442907,1.38791047
DEKALB-DKC53-78 SSRIB,286.738935,294.100818,-0.0300155,93499.4837,62.5570652,-1.4790732,0.86929628
MAT CHECK-LATE,267.597063,294.100818,-0.0300155,93499.4837,62.5570652,-1.4790732,0.86929628
AgriGold A6499STXRIB,208.4,293.273645,-0.0069529,97607.4185,72.2690217,-0.2240463,1.32187804
AgriGold A6533VT3PRIB,191.5,293.273645,-0.0069529,97607.4185,72.2690217,-0.2240463,1.32187804
AgriGold A6499STXRIB,243.6,293.273645,-0.0069529,97607.4185,72.2690217,-0.2240463,1.32187804
AgriGold A6533VT3PRIB,228.6,293.273645,-0.0069529,97607.4185,72.2690217,-0.2240463,1.32187804
AgriGold A6499STXRIB,196,293.174324,0.0134628,99140.8288,76.111413,0.35829083,0.91589934
AgriGold A6533VT3PRIB,203.6,293.174324,0.0134628,99140.8288,76.111413,0.35829083,0.91589934
AgriGold A6499STXRIB,248.5,293.174324,0.0134628,99140.8288,76.111413,0.35829083,0.91589934
AgriGold A6533VT3PRIB,243.6,293.174324,0.0134628,99140.8288,76.111413,0.35829083,0.91589934
AgriGold A6533VT3PRIB,231.4,293.174324,0.0134628,99140.8288,76.111413,0.35829083,0.91589934
AgriGold A6499STXRIB,219.1,293.174324,0.0134628,99140.8288,76.111413,0.35829083,0.91589934
AgriGold A6533VT3PRIB,234.7,293.174324,0.0134628,99140.8288,76.111413,0.35829083,0.91589934
AgriGold A6499STXRIB,203.2,293.174324,0.0134628,99140.8288,76.111413,0.35829083,0.91589934
AgriGold A6499STXRIB,296.9,294.597558,0.00282963,99883.6413,78.1467391,0.81644327,1.30068242
AgriGold A6533VT3PRIB,272.1,294.597558,0.00282963,99883.6413,78.1467391,0.81644327,1.30068242
AgriGold A6499STXRIB,283.9,294.644432,-0.0006051,99188.125,76.5991848,0.67228566,1.46426927
AgriGold A6533VT3PRIB,282.3,294.644432,-0.0006051,99188.125,76.5991848,0.67228566,1.46426927
AgriGold A6499STXRIB,290.4,294.644432,-0.0006051,99188.125,76.5991848,0.67228566,1.46426927
AgriGold A6533VT3PRIB,277.2,294.644432,-0.0006051,99188.125,76.5991848,0.67228566,1.46426927
AgriGold A6499STXRIB,200.9,294.908699,-0.0081853,97645.163,71.1345109,-0.0100514,2.2729647
AgriGold A6533VT3PRIB,185.2,294.908699,-0.0081853,97645.163,71.1345109,-0.0100514,2.2729647
AgriGold A6499STXRIB,159.3,294.908699,-0.0081853,97645.163,71.1345109,-0.0100514,2.2729647
AgriGold A6533VT3PRIB,130.4,294.908699,-0.0081853,97645.163,71.1345109,-0.0100514,2.2729647
AgriGold A6499STXRIB,184.4,294.908699,-0.0081853,97645.163,71.1345109,-0.0100514,2.2729647
AgriGold A6533VT3PRIB,180.9,294.908699,-0.0081853,97645.163,71.1345109,-0.0100514,2.2729647
